WordInds,LexSemErr,ONsize,Frequency,Concreteness,ItemCrossedThreshold,IsWord_name,IsNeighborofExpected_name,IsWord_code,IsNeighborofExpected_code,Word
942.0,133.85886759794627,2.0,0.030012059,-1.0,1.0,Word,Neighbor,1,1,trot
408.0,122.51526640335346,2.0,0.024677382,1.0,1.0,Word,Neighbor,1,1,acne
426.0,162.85435144617009,7.0,0.046694624,-1.0,1.0,Word,Neighbor,1,1,flew
626.0,145.69837454978148,7.0,0.051082594,-1.0,0.0,Word,Neighbor,1,1,wood
1501.0,156.9051405548693,5.0,0.003169489,-1.0,1.0,Word,Neighbor,1,1,jilt
854.0,141.5008131409694,5.0,0.055501161,-1.0,0.0,Word,Neighbor,1,1,crew
1253.0,96.68014031644347,2.0,0.035344936,-1.0,1.0,Word,Neighbor,1,1,aged
1249.0,129.2728073577902,2.0,0.03652562,-1.0,1.0,Word,Neighbor,1,1,itch
599.0,182.99689414480517,16.0,0.035839888,-1.0,1.0,Word,Neighbor,1,1,hare
1104.0,140.3578027536931,16.0,0.074714278,-1.0,1.0,Word,Neighbor,1,1,hear
311.0,146.908124340812,6.0,0.036917982,-1.0,1.0,Word,Neighbor,1,1,fled
230.0,128.4314023674644,6.0,0.031464516,1.0,0.0,Word,Neighbor,1,1,skid
1384.0,173.327863307185,13.0,0.062101114,-1.0,1.0,Word,Neighbor,1,1,none
1312.0,128.72948554298267,13.0,0.08356941,-1.0,0.0,Word,Neighbor,1,1,tell
491.0,160.66598790383807,7.0,0.02500315,-1.0,1.0,Word,Neighbor,1,1,blot
269.0,139.55619484261226,7.0,0.028636994,1.0,0.0,Word,Neighbor,1,1,haze
749.0,136.15132927930551,2.0,0.040028077,-1.0,1.0,Word,Neighbor,1,1,pier
1532.0,132.1163684593218,2.0,0.012580767,-1.0,1.0,Word,Neighbor,1,1,ably
113.0,151.91860741993463,11.0,0.036741599,1.0,1.0,Word,Neighbor,1,1,mold
741.0,132.22881716498583,11.0,0.046359857,-1.0,0.0,Word,Neighbor,1,1,seal
1208.0,145.0310826014508,7.0,0.051411962,-1.0,1.0,Word,Neighbor,1,1,hung
664.0,146.2651241852354,7.0,0.053253181,-1.0,1.0,Word,Neighbor,1,1,roof
515.0,144.7081530975548,4.0,0.057947121,-1.0,1.0,Word,Neighbor,1,1,tree
1394.0,119.43692027657937,4.0,0.073116035,-1.0,1.0,Word,Neighbor,1,1,next
197.0,146.050566037434,8.0,0.04449344,1.0,1.0,Word,Neighbor,1,1,porn
891.0,135.41147719614145,8.0,0.043435143,-1.0,0.0,Word,Neighbor,1,1,leak
667.0,142.19535937179302,3.0,0.038710606,-1.0,1.0,Word,Neighbor,1,1,cola
905.0,125.86660390252887,3.0,0.063400587,-1.0,0.0,Word,Neighbor,1,1,drop
611.0,167.01160863928936,11.0,0.04367272,-1.0,1.0,Word,Neighbor,1,1,dice
680.0,136.8829520555711,11.0,0.071571786,-1.0,0.0,Word,Neighbor,1,1,head
1094.0,147.68254445226677,5.0,0.076604093,-1.0,1.0,Word,Neighbor,1,1,stop
15.0,121.37378059260081,5.0,0.052113893,-1.0,0.0,Word,Neighbor,1,1,tour
1484.0,160.77710715340282,8.0,0.039473732,-1.0,1.0,Word,Neighbor,1,1,vast
1000.0,130.1208007573503,8.0,0.051593744,-1.0,0.0,Word,Neighbor,1,1,dump
1372.0,177.91852649999677,15.0,0.072477097,-1.0,1.0,Word,Neighbor,1,1,same
310.0,137.97207484989968,15.0,0.042952791,1.0,0.0,Word,Neighbor,1,1,mill
1032.0,154.1358204846249,6.0,0.040168463,-1.0,1.0,Word,Neighbor,1,1,leap
1429.0,134.5871499070995,6.0,0.046212271,-1.0,0.0,Word,Neighbor,1,1,foul
106.0,136.17060647123452,2.0,0.016727561,-1.0,1.0,Word,Neighbor,1,1,airy
